Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=0.45263157894736844; um 
0,0.5790,4.284753795552E+01,2.461695574055E-01,1.085178809530E+01
0,0.5800,4.274272157009E+01,2.440042514809E-01,1.083307811583E+01
0,0.5810,4.264044269162E+01,2.420237559709E-01,1.081443254248E+01
0,0.5820,4.253851273802E+01,2.400500662874E-01,1.079585104326E+01
0,0.5830,4.243693002798E+01,2.380831474090E-01,1.077733328847E+01
0,0.5840,4.233568944759E+01,2.361229645541E-01,1.075887895065E+01
0,0.5850,4.223479366186E+01,2.341694831791E-01,1.074048770458E+01
0,0.5860,4.213423789365E+01,2.322226689760E-01,1.072215922727E+01
0,0.5870,4.203402189573E+01,2.302824878708E-01,1.070389319792E+01
0,0.5880,4.193414302275E+01,2.283489060209E-01,1.068568929792E+01
0,0.5890,4.183459923940E+01,2.264218898141E-01,1.066754721083E+01
0,0.5900,4.173539155594E+01,2.245014058655E-01,1.064946662234E+01
0,0.5910,4.163866068690E+01,2.229021118543E-01,1.063144722027E+01
0,0.5920,4.154225305233E+01,2.213082208635E-01,1.061348869456E+01
0,0.5930,4.144616797903E+01,2.197197055589E-01,1.059559073723E+01
0,0.5940,4.135040322411E+01,2.181365387908E-01,1.057775304239E+01
0,0.5950,4.125495585008E+01,2.165586935916E-01,1.055997530618E+01
0,0.5960,4.115982902972E+01,2.149861431749E-01,1.054225722681E+01
0,0.5970,4.106501612475E+01,2.134188609339E-01,1.052459850449E+01
0,0.5980,4.097051472505E+01,2.118568204394E-01,1.050699884144E+01
0,0.5990,4.087632841580E+01,2.102999954392E-01,1.048945794187E+01
0,0.6000,4.078245205193E+01,2.087483598555E-01,1.047197551197E+01
0,0.6010,4.068994056945E+01,2.068453875867E-01,1.045455125987E+01
0,0.6020,4.059773355550E+01,2.049487374849E-01,1.043718489565E+01
0,0.6030,4.050582835191E+01,2.030583780965E-01,1.041987613131E+01
0,0.6040,4.041422461703E+01,2.011742781763E-01,1.040262468076E+01
0,0.6050,4.032292157030E+01,1.992964066856E-01,1.038543025980E+01
0,0.6060,4.023191642077E+01,1.974247327905E-01,1.036829258610E+01
0,0.6070,4.014120775637E+01,1.955592258606E-01,1.035121137921E+01
0,0.6080,4.005079272256E+01,1.936998554665E-01,1.033418636049E+01
0,0.6090,3.996067455906E+01,1.918465913792E-01,1.031721725317E+01
0,0.6100,3.987084729659E+01,1.899994035676E-01,1.030030378226E+01
0,0.6110,3.978338784610E+01,1.885788551254E-01,1.028344567460E+01
0,0.6120,3.969621163630E+01,1.871629489983E-01,1.026664265879E+01
0,0.6130,3.960931614466E+01,1.857516624670E-01,1.024989446522E+01
0,0.6140,3.952270405098E+01,1.843449729604E-01,1.023320082603E+01
0,0.6150,3.943636896220E+01,1.829428580537E-01,1.021656147509E+01
0,0.6160,3.935030754661E+01,1.815452954681E-01,1.019997614802E+01
0,0.6170,3.926452671079E+01,1.801522630692E-01,1.018344458214E+01
0,0.6180,3.917901858991E+01,1.787637388658E-01,1.016696651647E+01
0,0.6190,3.909378461491E+01,1.773797010088E-01,1.015054169173E+01
0,0.6200,3.900882403158E+01,1.760001277900E-01,1.013416985029E+01
0,0.6210,3.892515525009E+01,1.747828361126E-01,1.011785073620E+01
0,0.6220,3.884175228763E+01,1.735694585564E-01,1.010158409514E+01
0,0.6230,3.875861353013E+01,1.723599762732E-01,1.008536967445E+01
0,0.6240,3.867573904783E+01,1.711543705359E-01,1.006920722304E+01
0,0.6250,3.859312769397E+01,1.699526227368E-01,1.005309649149E+01
0,0.6260,3.851077605859E+01,1.687547143877E-01,1.003703723192E+01
0,0.6270,3.842868559937E+01,1.675606271177E-01,1.002102919805E+01
0,0.6280,3.834685315698E+01,1.663703426735E-01,1.000507214519E+01
