# In-plane momentum (1/um), PSD (a.u.)
3.204424506661588907e+02,3.937587193350211692e+03
3.216990877275948151e+02,4.055538635554912616e+03
3.229557247890307394e+02,3.978836779480829136e+03
3.242123618504666638e+02,4.090447668618715852e+03
3.254689989119025313e+02,3.990358994759289089e+03
3.267256359733384556e+02,4.014723799160181443e+03
3.279822730347743800e+02,3.880202434322524368e+03
3.292389100962103612e+02,3.778438306712918802e+03
3.304955471576462287e+02,3.685214740302062182e+03
3.317521842190821530e+02,3.497817269535328705e+03
3.330088212805180774e+02,3.448896693104547921e+03
3.342654583419540018e+02,3.244700917156459582e+03
3.355220954033899261e+02,2.988624941324191241e+03
3.367787324648257936e+02,2.868824668053675396e+03
3.380353695262617180e+02,2.626640828755631446e+03
3.392920065876976423e+02,2.495037499271403249e+03
3.405486436491335667e+02,2.379923648588885499e+03
3.418052807105694910e+02,2.223841322409986788e+03
3.430619177720054154e+02,2.155342910151585329e+03
3.443185548334413397e+02,2.123319933919932282e+03
3.455751918948772641e+02,2.149554821293689201e+03
3.468318289563131884e+02,2.137713401702103056e+03
3.480884660177490559e+02,2.226197664276008254e+03
3.493451030791849803e+02,2.177071449222517913e+03
3.506017401406209046e+02,2.426451698676431533e+03
3.518583772020568290e+02,2.520517359187692364e+03
3.531150142634927533e+02,2.602714562046784977e+03
3.543716513249286209e+02,2.817865032495868945e+03
3.556282883863646020e+02,2.930547442229220906e+03
3.568849254478005264e+02,2.940046683403993484e+03
3.581415625092364508e+02,3.208937991908553613e+03
3.593981995706723183e+02,3.225201400516601552e+03
3.606548366321082426e+02,3.245451429047533566e+03
3.619114736935441670e+02,3.456139190667148341e+03
3.631681107549800913e+02,3.384289234878617663e+03
3.644247478164160157e+02,3.328199108786541274e+03
3.656813848778518832e+02,3.411441687006162283e+03
3.669380219392878075e+02,3.247065406854484536e+03
3.681946590007237319e+02,3.275155813556221347e+03
3.694512960621597131e+02,3.212043234468944775e+03
3.707079331235955806e+02,3.190846338819494122e+03
3.719645701850315049e+02,3.109770822721607601e+03
3.732212072464674293e+02,2.945217257014932784e+03
3.744778443079033536e+02,2.855805898183000863e+03
3.757344813693392780e+02,2.730759361679507492e+03
3.769911184307751455e+02,2.544773834010477003e+03
3.782477554922110698e+02,2.426904520902798595e+03
3.795043925536469942e+02,2.363719179994244769e+03
3.807610296150829186e+02,2.128565189804945021e+03
