# In-plane momentum (1/um), PSD (a.u.)
2.038914437429137294e+01,3.725244661522407841e+04
2.080524936152180970e+01,3.016755780170872822e+04
2.122135434875224647e+01,2.932729067384098744e+04
2.163745933598268323e+01,2.602508028299452053e+04
2.205356432321311999e+01,2.280694291014020564e+04
2.246966931044355320e+01,1.731474794241214113e+04
2.288577429767398996e+01,1.552106787993537910e+04
2.330187928490442673e+01,1.172663855180729661e+04
2.371798427213485994e+01,8.373389185363805154e+03
2.413408925936530025e+01,5.873117411118407290e+03
2.455019424659573346e+01,2.991881317932412003e+03
2.496629923382617022e+01,9.864591410853222442e+02
2.538240422105660699e+01,3.317654984407655775e+03
2.579850920828704375e+01,5.919166045790595490e+03
2.621461419551748051e+01,8.600171914189621020e+03
2.663071918274791727e+01,1.051318594682199546e+04
2.704682416997835048e+01,1.386665239634199315e+04
2.746292915720879080e+01,1.644319295875057651e+04
2.787903414443922401e+01,1.749470349300809903e+04
2.829513913166966077e+01,2.048171218300300461e+04
2.871124411890009753e+01,2.080587790761905853e+04
2.912734910613053074e+01,2.438426027107417394e+04
2.954345409336097106e+01,2.440466793761515510e+04
2.995955908059140427e+01,2.673529945965583101e+04
3.037566406782184103e+01,2.690996490834640281e+04
3.079176905505227779e+01,2.723084958937612828e+04
3.120787404228271456e+01,2.705376044908598851e+04
3.162397902951314776e+01,2.977094563897699481e+04
3.204008401674358453e+01,2.798168167712153445e+04
3.245618900397402484e+01,2.987106230826329192e+04
3.287229399120445805e+01,3.177951205804052734e+04
3.328839897843489126e+01,3.000954458567926486e+04
3.370450396566533158e+01,2.947599869689651314e+04
3.412060895289576479e+01,2.734035564753030485e+04
3.453671394012620510e+01,2.711389322926432214e+04
3.495281892735663831e+01,2.917018926530200042e+04
3.536892391458707863e+01,2.752858905243964546e+04
3.578502890181751184e+01,2.765875643142364788e+04
3.620113388904794505e+01,2.673607384892160189e+04
3.661723887627837826e+01,2.644895747535334158e+04
3.703334386350882568e+01,2.461965619299367609e+04
3.744944885073925889e+01,2.480293376995922881e+04
3.786555383796969210e+01,2.362252655963372308e+04
3.828165882520012531e+01,2.370732376960587135e+04
3.869776381243055852e+01,2.352484291560230849e+04
3.911386879966100594e+01,1.968026311709384754e+04
3.952997378689143915e+01,2.034325966134366172e+04
3.994607877412187236e+01,1.777565188307124845e+04
4.036218376135230557e+01,1.651174632281003505e+04
4.077828874858274588e+01,1.550184480964319482e+04
4.119439373581318620e+01,1.476794476992045747e+04
4.161049872304361941e+01,1.382526695098496020e+04
4.202660371027405262e+01,1.156473617977422873e+04
4.244270869750449293e+01,1.049608082958064188e+04
4.285881368473492614e+01,9.078333836690457247e+03
4.327491867196536646e+01,8.108166932815652217e+03
4.369102365919579967e+01,6.492923304645117241e+03
4.410712864642623998e+01,5.314816208517601808e+03
4.452323363365667319e+01,3.682319146142796399e+03
4.493933862088710640e+01,2.783485730630661692e+03
4.535544360811753961e+01,1.301544283174734574e+03
4.577154859534797993e+01,4.852798829108351697e+02
4.618765358257842024e+01,1.239433619150778668e+03
4.660375856980885345e+01,2.329318376858060674e+03
4.701986355703928666e+01,3.394073763317261182e+03
4.743596854426971987e+01,4.650770333375256996e+03
4.785207353150016729e+01,5.353941788637868740e+03
4.826817851873060050e+01,6.469267316058660072e+03
4.868428350596103371e+01,7.464772222342157875e+03
4.910038849319146692e+01,8.416316875921133033e+03
4.951649348042190013e+01,9.209552681818586279e+03
4.993259846765234045e+01,1.045558948341670293e+04
5.034870345488278076e+01,1.036527894732301502e+04
5.076480844211321397e+01,1.118781554206128021e+04
5.118091342934364718e+01,1.237035861927852784e+04
5.159701841657408750e+01,1.283926241736881639e+04
5.201312340380452071e+01,1.226121732913845335e+04
5.242922839103496102e+01,1.282708554428945354e+04
5.284533337826539423e+01,1.395688610674536721e+04
5.326143836549583455e+01,1.448333780985061640e+04
5.367754335272626776e+01,1.455769822334162563e+04
5.409364833995670097e+01,1.384296687097576796e+04
5.450975332718714128e+01,1.439569253461957123e+04
5.492585831441758160e+01,1.457630111367191057e+04
5.534196330164801481e+01,1.440270570278733612e+04
5.575806828887844802e+01,1.395470809026039024e+04
5.617417327610888123e+01,1.420576008591429490e+04
5.659027826333932154e+01,1.400387898581335503e+04
5.700638325056976186e+01,1.388051628730708580e+04
5.742248823780019507e+01,1.303627821516713448e+04
5.783859322503062828e+01,1.292272858990457826e+04
5.825469821226106149e+01,1.325660139796862495e+04
5.867080319949150180e+01,1.247488495177454206e+04
5.908690818672194212e+01,1.149819078365336827e+04
5.950301317395237533e+01,1.200899357310865889e+04
5.991911816118280854e+01,1.145707749341524868e+04
6.033522314841324174e+01,1.016618366385678019e+04
6.075132813564368206e+01,9.372342784542915979e+03
6.116743312287412238e+01,9.656169856350150440e+03
6.158353811010455559e+01,8.016874234765476103e+03
6.199964309733498879e+01,7.776670575694365652e+03
6.241574808456542911e+01,6.847335780440364942e+03
6.283185307179586232e+01,6.300259993334811043e+03
6.324795805902629553e+01,5.539494859291581633e+03
6.366406304625673584e+01,5.062778040877738931e+03
6.408016803348716905e+01,4.300718405934122529e+03
6.449627302071760937e+01,3.387782328291696103e+03
6.491237800794804969e+01,2.719998688403902634e+03
6.532848299517847579e+01,1.987836911254020379e+03
6.574458798240891610e+01,1.317302114851869646e+03
6.616069296963935642e+01,6.474639192025116472e+02
6.657679795686978252e+01,3.415425008818975812e+02
6.699290294410022284e+01,8.829227963512449833e+02
6.740900793133066315e+01,1.544613996957721383e+03
